Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.TP,QUERY.FP,QUERY.UNK,FP.gt,FP.al,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.TP.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP.het_hom_ratio,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,lowcmp_SimpleRepeat_diTR_11to50,PASS,hetalt,QUAL,*,0.956441,0.995236,0.351669,0.975453,10193,9749,444,15216,9818,47,5351,46,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_SimpleRepeat_diTR_11to50,PASS,homalt,QUAL,*,0.998911,0.98276,0.472324,0.99077,10101,10090,11,19457,10090,177,9190,173,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_SimpleRepeat_diTR_51to200,PASS,*,QUAL,*,0.851126,0.869291,0.588997,0.860113,2042,1738,304,4635,1656,249,2730,242,0,,1.353448,,5.666667,,1.277778,,1.103448,,,2.376652,0.80117,,3.902222
INDEL,*,lowcmp_SimpleRepeat_diTR_51to200,PASS,het,QUAL,*,0.927813,0.681592,0.813716,0.785868,471,437,34,2158,274,128,1756,123,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_SimpleRepeat_diTR_51to200,PASS,hetalt,QUAL,*,0.784137,0.995215,0.333971,0.877157,1223,959,264,1569,1040,5,524,4,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_SimpleRepeat_diTR_51to200,PASS,homalt,QUAL,*,0.982759,0.746725,0.495595,0.848635,348,342,6,908,342,116,450,115,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_SimpleRepeat_homopolymer_6to10,PASS,*,QUAL,*,0.998042,0.998803,0.59218,0.998423,27585,27531,54,67596,27534,33,40029,21,0,,1.454381,,8.5,,1.451824,,1.0,,,1.531957,1.451824,,1.591878
INDEL,*,lowcmp_SimpleRepeat_homopolymer_6to10,PASS,het,QUAL,*,0.99788,0.999063,0.596478,0.998471,16036,16002,34,39693,16002,15,23676,4,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_SimpleRepeat_homopolymer_6to10,PASS,hetalt,QUAL,*,0.969407,0.994152,0.742599,0.981624,523,507,16,1993,510,3,1480,3,0,,,,,,,,,,,,,,
INDEL,*,lowcmp_SimpleRepeat_homopolymer_6to10,PASS,homalt,QUAL,*,0.999637,0.998641,0.574025,0.999139,11026,11022,4,25910,11022,15,14873,14,0,,,,,,,,,,,,,,
